Thematic Area,Initiative,Project,Name,State or Country,City or Area,Copy
Creating Economic Opportunity,CCI,WIRE,Improving gender inclusion in clean energy,New York,New York,"CCI announced a new partnership at the United Nation’s largest annual summit on climate change to advance the full and equal participation of women in the sector with it’s Women in Renewable Energy (WIRE) Network. Chelsea Clinton applauded the effort, saying ""…we're grateful to have had the chance to support and empower women in the sustainable energy sector.”"
Creating Economic Opportunity,CGI,Solar Saves Lives,Delivering relief to Puerto Rico,Puerto Rico,San Juan,"The Clinton Foundation partnered with the Solar Foundation and 44 industry partners to restore electricity in Puerto Rico. The project, ""Solar Saves Lives,"" launched with more than $5 million in donated solar equipment that will transition services like refrigeration and medical care from kerosene to solar."
Creating Economic Opportunity,CDI,,Helping farmers improve their livelihoods,Malawi,Lilongwe,"In 2017, CDI worked with more than 62,000 female farmers in Malawi, providing them with the training and products they needed to increase their yields and improve their livelihoods. "
Creating Economic Opportunity,CDI,,Helping farmers improve their livelihoods,Rwanda,Kigali,"In 2017 in Rwanda, CDI maintained 150 demo plots, which serve as a training center and as an example of the yields achieved through improved climate-smart agronomic practices. "
Creating Economic Opportunity,CDI,,Helping farmers improve their livelihoods,Tanzania,Iringa,"CDI helped farmers in Tanzania harvest 65,000 acres of maize and 11,000 acres of soya. CDI helped farmers in six villages sell their crops at fair prices.  "
Creating Economic Opportunity,CGEP,,Training entrepreneurs to address global poverty,Haiti,Central Plateau,"CGEP’s supply chain enterprise in Haiti, Acceso Haiti, expanded beyond working with peanuts to include crops such as castor, mango, sisal, and moringa and is leveraging its agricultural expertise to impact additional farmers in Haiti.  To date, CGEP provided training to over 3,400 farmers to help them improve their yields and ultimately their livelihoods."
Creating Economic Opportunity,CGEP,,Training entrepreneurs to address global poverty,Colombia,Cartagena,"To date, more than 1,100 students have graduated from the Acceso Training Center in Colombia gaining access to quality vocational training, internships, and long-term jobs within high-growth industries."
Creating Economic Opportunity,CGEP,,Training entrepreneurs to address global poverty,Indonesia,East Nusa Tenggara (Rote Island),"In 2017, CGEP constructed two community kitchens, which are places where the cooks, usually the wives of the coconut tree climbers, process the collected sap collected from the trees."
Creating Economic Opportunity,CGEP,,Training entrepreneurs to address global poverty,El Salvador,San Salvador,"CGEP’s supply chain enterprise in El Salvador, Acceso El Salvador, joined Business Call to Action, which helps to accelerate progress toward the Sustainable Development Goals through inclusive business models. As of December 2017, CGEP is working with 809 smallholder producers in El Salvador. "
Creating Economic Opportunity,CCI,Islands,Supporting islands on the front lines of climate change,Seychelles,Victoria,"In 2017, CCI and its partner, Thai Union, formally announced construction of a biogas and wastewater project at Thai Union's Indian Ocean Tuna (IOT) factory in Seychelles. The factory is essential to the nation’s economy, but also the largest electricity consumer, primarily from diesel-based electricity. CCI partnered with Thai Union to identify and implement anaerobic digestion to reduce energy costs and carbon emissions through improving the quality of wastewater and generating biogas. The biogas is intended to be used to generate clean electricity, reducing consumption of diesel-based electricity from the grid. The biogas plant aims to be operational by February 2018."
